Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;gpsnmeajp/VirtualMotionTracker;https://github.com/gpsnmeajp/VirtualMotionTracker/blob/master/docs/Architecture.png;entire+;boxes_and_arrows;NA;deployment, connectivity;static;maintainability;high;clients, sub-systems, technologies;communication;rectangles;y;uni, bi;n;y;y;y;n;openvr, c++, c#;
Anonymous;intel/edge-insights-vision;https://github.com/intel/edge-insights-vision/blob/main/images/Architecture.png;entire;boxes;layered;general;static;maintainability;high;hardware_components, technologies, layers;NA;rectangles, squares;y;NA;n;y;n;n;n;docker, jupyter, intel, linux, windows;
Anonymous;mendhak/gpslogger;https://github.com/mendhak/gpslogger/blob/master/assets/gpslogger_architecture.png;part;boxes;event-driven;connectivity;static;maintainability;medium;bus, services, clients;communication;rectangles, icons;y;bus, uni, bi;n;y;n;n;n;NA;
Anonymous;mrubash1/trainspotting;https://github.com/mrubash1/trainspotting/blob/master/figures/architecture.png;entire+;boxes_and_arrows;NA;control_flow;dynamic;functional_suitability;high;hardware_components, sub-systems, technologies;control_flow;rectangles, squares, icons;y;uni;n;y;n;y;n;jupyter, tensorflow;IOT
Anonymous;JessNah/BeeGreen;https://github.com/JessNah/BeeGreen/blob/main/Doc/Images/Architecture.png;entire;icons_and_arrows;client-server;control_flow;dynamic;functional_suitability, interaction_capability;high;technologies;control_flow;circles, icons, rectangles;y;uni, bi;n;y;n;y;n;react, typescript, nodejs, ibm;
Anonymous;JuliaParallel/DagScheduler.jl;https://github.com/JuliaParallel/DagScheduler.jl/blob/master/dag_scheduler_architecture.png;entire;boxes_and_arrows;NA;data_flow, performance;static;flexibility, performance_efficiency;high;sub-systems;data_flow;rectangles, cylinders;n;bi;n;y;n;y;n;NA;
Anonymous;FPriv/factom-harmony-connect-python-sdk;https://github.com/FPriv/factom-harmony-connect-python-sdk/blob/master/documentation/pictures/architecture.jpg;entire;boxes_and_arrows;client-server;general;static;maintainability;medium;packages, classes, APIs, sub-systems;dependencies;rectangles;y;bi;n;y;n;y;n;NA;
Anonymous;yoshixmk/remarks;https://github.com/yoshixmk/remarks/blob/master/architecture.jpg;entire;icons_and_arrows;NA;deployment, control_flow;dynamic;functional_suitability, maintainability;high;technologies;control_flow, data_flow;icons;y;uni;n;n;n;y;n;google, html, github, fauna, deploy;
Anonymous;miztiik/aws-real-time-use-cases;https://github.com/miztiik/aws-real-time-use-cases/blob/master/200-Compute-Redis-Caching-Best-Practices/images/miztiik_what_to_cache_architecture_00.png;part;icons_and_arrows, boxes;client-server;deployment, control_flow;dynamic;functional_suitability;high;technologies;control_flow;rectangles, icons;y;uni, bi;n;y;n;y;n;aws;
Anonymous;gapfish/deployer;https://github.com/gapfish/deployer/blob/master/doc/deployer_architecture.jpg;part;icons_and_arrows;NA;deployment;dynamic;maintainability;high;DBs, technologies;control_flow;icons;n;bi;n;n;n;y;n;NA;manual sketch
Anonymous;TinkerWorks/HomeSensorHub;https://github.com/TinkerWorks/HomeSensorHub/blob/master/docs/top_level_architecture.png;entire;UML;NA;general;static;maintainability;low;classes, interfaces, functions;inheritance, composition;rectangles;y;uni;n;n;n;y;n;mqtt;IOT
Anonymous;vinijmoura/Azure-DevOps;https://github.com/vinijmoura/Azure-DevOps/blob/master/AllReports/images/Architecture.png;entire;boxes;rest;general;static;maintainability;high;technologies;NA;icons;y;NA;n;n;n;n;n;azure;
Anonymous;OpenRoberta/robertalab-ev3dev;https://github.com/OpenRoberta/robertalab-ev3dev/blob/develop/docs/architecture.png;entire;boxes_and_arrows;SOA;connectivity;static;maintainability;high;packages, clients;communication;rectangles;y;bi;n;y;n;y;n;NA;IOT
Anonymous;ibm-hyperknowledge/hklib;https://github.com/ibm-hyperknowledge/hklib/blob/main/docs/images/Architecture.jpg;part;boxes_and_arrows;NA;general;static;maintainability;high;DBs, clients, packages;dependencies;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;IBM/cognos-analytics-to-visualize-business-data;https://github.com/IBM/cognos-analytics-to-visualize-business-data/blob/master/doc/source/images/architecture.png;entire;icons_and_arrows;client-server;control_flow;dynamic;functional_suitability;high;technologies;control_flow;circles, icons;y;uni, bi;n;n;n;y;n;cognos;
Anonymous;beston123/Tarzan;https://github.com/beston123/tevent/blob/master/doc/development/Architecture.png;entire;boxes_and_arrows;client-server;control_flow;static, dynamic;functional_suitability;high;sub-systems, servers, technologies, DBs;control_flow;rectangles, icons;y;uni;n;y;n;y;n;mysql, rocketmq;
Anonymous;serverdevcamp/camp4_quadcore;https://github.com/serverdevcamp/camp4_quadcore/blob/master/server/DataPipeline/img/architecture.png;entire;boxes_and_arrows;NA;data_flow;static, dynamic;maintainability;high;APIs, DBs, technologies;data_flow;circles, icons, rectangles;y;uni;n;y;n;y;n;twitter, apache, cassandra;
Anonymous;heli-os/member-invitation-java-springboot;https://github.com/heli-os/member-invitation-java-springboot/blob/main/docs/overall-architecture.png;entire;boxes_and_arrows;rest, MVC;general;static;maintainability;medium;packages, DBs, services;dependencies;rectangles, squares;n;uni;n;y;n;y;n;aws, redis;
Anonymous;itays123/partydeck;https://github.com/itays123/partydeck/blob/main/architecture.png;entire;boxes_and_arrows;microservices, layered;general;static;maintainability;high;DBs, services, clients;dependencies;rectangles, squares;y;uni;n;y;n;y;n;mongodb;
Anonymous;liyangbing/rocketmq-http-gateway;https://github.com/liyangbing/rocketmq-http-gateway/blob/master/docs/images/architecture.jpg;entire+;boxes_and_arrows;client-server, publish-subscribe;connectivity;static;maintainability;medium;servers, technologies, sub-systems;communication;rectangles;y;uni;n;y;n;y;parameters;rocketmq, apache;
Anonymous;zeromicro/zero-doc;https://github.com/zeromicro/zero-doc/blob/main/doc/images/architecture-en.png;entire;boxes;layered, SOA;general;static;maintainability;medium;services, DBs, APIs, features;communication;rectangles;y;uni;n;y;n;y;n;mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh;
Anonymous;chsakell/planet-scale-azure;https://github.com/chsakell/planet-scale-azure/blob/master/Online.Store/wwwroot/images/app/schema-architecture.png;entire;icons_and_arrows;NA;deployment, connectivity;static;flexibility;high;DBs, servers;communication;icons;y;no;n;n;n;y;n;azure;
Anonymous;GoogleCloudPlatform/analytics-componentized-patterns;https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/blob/master/retail/propensity-model/bqml/images/MLOPs-Pipeline-Architecture.png;entire;boxes_and_arrows;pipes-and-filters;control_flow;dynamic;functional_suitability;high;steps;control_flow;rectangles, icons;y;uni;n;n;n;y;text;google;
Anonymous;exmgr/GatewayXM;https://github.com/exmgr/GatewayXM/blob/master/images/architecture.png;entire+;boxes;layered;general;static;maintainability;medium;layers, services, sub-systems, technologies;NA;rectangles;y;NA;n;y;n;n;snapshots;java, eclipse;IOT
Anonymous;oovk/dataengg-covid19-aws;https://github.com/oovk/dataengg-covid19-aws/blob/main/architecture.png;entire;icons_and_arrows;microservices;data_flow;dynamic;maintainability;high;technologies, DBs, services;data_flow;rectangles, squares, icons;y;uni;n;y;n;y;n;aws;
Anonymous;ndsev/zswag;https://github.com/ndsev/zswag/blob/master/doc/zswag-architecture.png;entire;UML;client-server;general;static;maintainability;medium;packages, classes;dependencies;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;shawntabrizi/Ethereum-Twitter-Bounty;https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/blob/master/twitter-bounty/src/img/twitter-bounty-architecture.png;entire;icons_and_arrows;smart-contracts;general;static;maintainability;medium;contracts, technologies, clients;communication;icons;y;uni, bi;n;n;n;y;n;ethereum, oraclize, twitter, web3js;blockchain
Anonymous;badr42/oke_A1;https://github.com/badr42/oke_A1/blob/main/images/architecture.png;part;boxes, icons_and_arrows;client-server;deployment, connectivity, performance;static;flexibility, performance_efficiency, reliability;medium;network_components, containers;communication;rectangles, icons;y;uni;n;y;n;y;n;kubernetes, oracle;
Anonymous;ev2900/OpenSearch_Dashboard_Nginx_Proxy;https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/blob/main/Read_Me_Architecture/ReadMe_Architecture.png;entire;boxes_and_arrows;client-server;deployment, connectivity;static;security;high;servers, services;communication;rectangles, icons;y;bi;n;y;n;y;URLs;nginx, aws, opensearch;
Anonymous;EdwardNgo/Tiki-Data-Analysis-V2;https://i.ibb.co/Pz4KsWZ/cluster-architecture.png;part;boxes;NA;deployment;static;performance_efficiency;high;servers, DBs;communication;rectangles;y;no;n;y;n;y;n;apache, jupyter;
Anonymous;AndreasM009/AadApiGatekeeper;https://github.com/AndreasM009/AadApiGatekeeper/blob/master/doc/pics/Architecture.png;entire+;boxes_and_arrows;SOA;deployment;static;flexibility, security;high;containers, APIs, services, technologies;communication;ellipses, icons, rectangles;y;uni, no;n;y;y;y;n;azure, kubernetes;
Anonymous;asbonatto/CarND-Capstone;https://github.com/asbonatto/CarND-Capstone/blob/master/ros-architecture.png;entire+;boxes_and_arrows;NA;control_flow;static, dynamic;functional_suitability;low;layers, sub-systems;function_calls;rectangles;y;uni;y;n;n;y;n;ros;ROS duplicate
Anonymous;mwherman2000/indy-arm;https://github.com/mwherman2000/indy-arm/blob/master/images/HBB-DID-Resolver-Architecture%20v0.2.png;entire;boxes;SOA;deployment;static;maintainability, flexibility;high;clients, services, sub-systems;communication;rectangles;y;uni;y;y;n;y;n;NA;
Anonymous;kaleidot725/Draft;https://github.com/kaleidot725/Draft/blob/develop/docs/architecture.png;entire;boxes_and_arrows;MVI, layered;general;static, dynamic;maintainability;high;DBs, sub-systems;control_flow, data_flow;rectangles, icons;y;uni;n;y;n;y;n;NA;
Anonymous;Azure/AzureStack-QuickStart-Templates;https://github.com/Azure/AzureStack-QuickStart-Templates/blob/master/201-webapp-gdpr-compliant/images/architecture.png;entire+;icons_and_arrows;SOA;deployment, connectivity, performance, security;static;flexibility, security, maintainability;high;network_components, DBs, APIs, functions;data_flow, API_calls, communication;rectangles, icons;y;uni;n;y;n;y;n;azure;
Anonymous;Fintan-contents/case-studies;https://github.com/Fintan-contents/case-studies/blob/master/architecture-decision-records/architecture_workflow.png;entire;boxes_and_arrows;NA;control_flow;dynamic;interaction_capability, functional_suitability;high;steps;control_flow;rectangles, icons;y;uni;n;n;n;y;n;NA;
Anonymous;spikecodes/stotra;https://github.com/spikecodes/stotra/blob/main/assets/architecture.png;entire;icons_and_arrows, boxes;microservices;deployment;dynamic;maintainability;medium;DBs, technologies;communication;rectangles, squares, icons;y;uni, bi;n;y;n;y;n;react, aws, mongodb, cloudflare;
Anonymous;blentle/hikarikeeper;https://github.com/blentle/hikarikeeper/blob/main/images/Hikarikeeper-Architecture.png;entire;boxes_and_arrows;client-server;deployment, connectivity;static;flexibility;high;servers, DBs;communication;rectangles, cylinders;y;uni;n;y;n;y;n;rocksdb;
Anonymous;tarhses/esp-alarm-clock;https://github.com/tarhses/esp-alarm-clock/blob/main/docs/architecture.png;entire;boxes_and_arrows;event-driven;control_flow;dynamic;functional_suitability, reliability;medium;packages;control_flow;rectangles, circles;n;uni;n;n;n;y;text;NA;
Anonymous;balajich/resilience4j-helloworld;https://github.com/balajich/resilience4j-helloworld/blob/master/retry/retry-architecture.png;part;boxes_and_arrows;SOA;control_flow;dynamic;functional_suitability, reliability;medium;services, clients, functions;communication;ellipses, squares;n;uni;n;y;n;y;n;NA;
Anonymous;clemgbld/blog_back_office;https://github.com/clemgbld/blog_back_office/blob/main/hexagonal-architecture.png;entire;boxes_and_arrows;hexagonal, layered;connectivity;static;maintainability;medium;ports;communication;rectangles, hexagons;y;uni;n;y;y;y;n;NA;
Anonymous;CMU-RERC-APT/tiramisu3-pr;https://github.com/CMU-RERC-APT/tiramisu3-pr/blob/main/doc/architecture2.png;entire;boxes_and_arrows;layered;control_flow;static, dynamic;functional_suitability, maintainability;medium;DBs, sub-systems, classes;communication;rectangles, cylinders;y;uni, bi;y;n;n;y;n;NA;
Anonymous;dylanvanh/MunchOut;https://github.com/dylanvanh/MunchOut/blob/main/documentation/frontent-architecture.drawio.png;entire;boxes_and_arrows;layered;data_flow;dynamic;maintainability;medium;classes, layers, APIs, DBs;communication;rectangles, icons;y;uni;n;y;n;y;n;mysql;
Anonymous;alextanhongpin/node-rest;https://github.com/alextanhongpin/node-rest/blob/master/assets/onion_architecture.png;entire;boxes;clean;general;static;maintainability;high;layers;NA;circles;y;NA;y;y;n;n;miniview;NA;clean duplicate
Anonymous;IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras;https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/blob/main/images/architecture-flow.png;part;icons_and_arrows;client-server;control_flow;dynamic;functional_suitability;high;technologies;control_flow;circles, icons;y;uni;n;n;n;y;n;watson, jupyter, tensorflow;
Anonymous;microsoft/covid19-BackToWork;https://github.com/microsoft/covid19-BackToWork/blob/master/Screenshots/referenceArchitecture.png;part;icons_and_arrows;NA;control_flow;dynamic;functional_suitability, maintainability;high;technologies, layers;control_flow;icons;y;uni;n;y;n;y;text;azure, microsoft, twilio, powerbi;
Anonymous;florianhoehn/sf-apex-rest-api;https://github.com/florianhoehn/sf-apex-rest-api/blob/master/architecture.png;part;boxes_and_arrows;rest;general;static, dynamic;maintainability;low;classes;inheritance;rectangles;y;no;y;n;n;y;text;NA;manual sketch
Anonymous;boot2podman/machine;https://github.com/boot2podman/machine/blob/master/architecture.png;part;boxes_and_arrows;client-server;connectivity;dynamic;maintainability;high;servers;communication;ellipses, squares;y;uni;n;y;n;y;n;NA;
Anonymous;Xsidelight/flutter_interview_questions;https://github.com/Xsidelight/flutter_interview_questions/blob/master/images/flutter-lecture/flutter-architecture2.png;entire;boxes;layered;general;static;maintainability;medium;layers, packages;NA;rectangles;y;NA;n;y;n;n;n;dart;
Anonymous;IBM/customer-sentiment-on-seller-quality-nlu-cp4d;https://github.com/IBM/customer-sentiment-on-seller-quality-nlu-cp4d/blob/master/doc/source/images/architecture.png;entire;icons_and_arrows;client-server;control_flow;dynamic;functional_suitability, maintainability;high;technologies;control_flow;rectangles, icons;y;bi;n;y;n;y;n;watson, jupyter, cognos;
Anonymous;aliyun/packagist-mirror;https://github.com/aliyun/packagist-mirror/blob/master/architecture.png;entire;boxes;layered;general;static;maintainability;medium;layers, coroutines;NA;rectangles, icons;y;NA;n;y;n;n;n;github, composer;
Anonymous;laziestcoder/Budget_App_JS;https://github.com/laziestcoder/Budget_App_JS/blob/master/FinalArchitecture.jpg;entire;boxes_and_arrows;event-driven;control_flow;dynamic;functional_suitability, maintainability;low;functions, layers;control_flow;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;Alephbet/gimel;https://s3.amazonaws.com/gingerlime-images/gimel-architecture.png;entire;icons_and_arrows;client-server;control_flow;dynamic;functional_suitability;high;APIs, technologies, clients;control_flow;icons, 3d;y;uni;n;n;n;y;n;aws;
Anonymous;drasyl/drasyl;https://docs.drasyl.org/img/drasyl-architecture.svg;entire;boxes;layered;connectivity;static;maintainability;medium;packages;NA;rectangles;y;NA;n;y;n;n;n;NA;
Anonymous;IBM/spectrum-protect-sppmon;https://github.com/IBM/sppmon/blob/master/pictures/sppmon_architecture.PNG;entire+;boxes, icons_and_arrows;NA;connectivity, control_flow;static, dynamic;interaction_capability, functional_suitability;medium;APIs, technologies, VMs;control_flow, function_calls;rectangles, icons;y;uni;n;y;y;y;n;ibm;
Anonymous;input-output-hk/marlowe-starter-kit;https://github.com/input-output-hk/marlowe-starter-kit/blob/main/images/runtime-architecture.png;entire;boxes_and_arrows;rest;scheduling, control_flow;dynamic;interaction_capability;medium;packages, DBs;function_calls;rectangles;y;uni;n;y;y;y;text;postgresql;
Anonymous;eqbal/CarND_Capstone_CarX;https://github.com/eqbal/CarND_Capstone_CarX/blob/master/imgs/ros-architecture.png;entire+;boxes_and_arrows;NA;control_flow;static, dynamic;functional_suitability;low;layers, sub-systems;function_calls;rectangles;y;uni;y;n;n;y;n;ros;ROS duplicate
Anonymous;pacmacro/pm-server-spring;https://github.com/pacmacro/pm-server-spring/blob/master/readme-img/system-architecture.png;part;icons_and_arrows;client-server;deployment, control_flow;dynamic;flexibility;high;servers, clients;data_flow;icons, 3d;y;uni;n;n;n;y;n;NA;
Anonymous;p2p-sync/aggregator;https://cdn.rawgit.com/p2p-sync/aggregator/master/src/main/resources/img/architectural-overview.svg;part;boxes_and_arrows;event-driven;control_flow;dynamic;interaction_capability;low;classes, functions;data_flow;rectangles;n;uni;n;y;n;y;n;NA;
Anonymous;ruoccofabrizio/azure-open-ai-embeddings-qna;https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna/blob/main/docs/architecture.png;entire+;icons_and_arrows;pipes-and-filters, SOA;data_flow, control_flow;dynamic;functional_suitability;medium;data;data_flow;icons;y;uni;n;n;n;y;text;azure;
Anonymous;jinnerbichler/flash-home;https://github.com/jinnerbichler/flash-home/blob/master/home-assistant/config/www/architecture.png;entire+;icons_and_arrows;publish-subscribe;connectivity;dynamic;interaction_capability;high;sub-systems, servers;communication;icons;n;uni;n;n;n;y;n;NA;iot
Anonymous;OpenPSD/modelbank;https://github.com/OpenPSD/modelbank/blob/master/modelbank_solution_architecture.png;entire;UML;MVC;general;static;maintainability;medium;packages, classes, data;inheritance;rectangles;n;uni;n;y;n;y;n;NA;
Anonymous;minism/hotel;https://github.com/minism/hotel/blob/master/docs/architecture.png;entire+;boxes_and_arrows;NA;deployment;static;flexibility, performance_efficiency;high;servers, containers;communication;rectangles;y;uni;n;n;n;y;text;unity;
Anonymous;IBM/kubernetes-storage;https://github.com/IBM/kubernetes-storage/blob/master/docs/Lab5/images/cos-plugin-architecture.png;entire;boxes_and_arrows;MVC;deployment, scheduling;dynamic;functional_suitability, performance_efficiency;high;APIs, containers;API_calls, data_flow;rectangles;y;bi;y;n;n;y;n;kubernetes;
Anonymous;tamu-datathon-org/galaxy;https://github.com/tamu-datathon-org/galaxy/blob/master/architecture.png;entire+;boxes_and_arrows;event-driven;general;static, dynamic;maintainability;high;sub-systems, DBs;communication;rectangles, circles;n;uni;n;n;n;y;n;postgresql, mongodb;
Anonymous;odh-labs/predictive-maint;https://github.com/odh-labs/predictive-maint/blob/main/docs/images/1-main-readme/technical-architecture.png;entire;icons_and_arrows, boxes;event-driven, client-server;deployment;dynamic;functional_suitability;high;containers, sub-systems, technologies;control_flow;rectangles, icons;y;uni;n;y;n;y;n;superset, tableau, red_hat, prometheus, aws;
Anonymous;DehengYang/APRConfig;https://github.com/DehengYang/APRConfig/blob/master/doc/figs/APRConfig_architecture.jpg;part;boxes_and_arrows, icons_and_arrows;NA;control_flow;dynamic;functional_suitability;low;packages;control_flow;rectangles, icons;n;uni;n;y;n;y;n;NA;
Anonymous;brightzheng100/instana-handson-labs;https://github.com/brightzheng100/instana-handson-labs/blob/main/misc/labs-architecture-v3.jpg;entire+;icons_and_arrows;layered;deployment;static;flexibility;high;servers, containers, technologies;communication;rectangles, icons;y;uni;n;y;n;y;snapshots;docker, apache, cassandra, butles, nginx, cockroachdb, kubernetes, spring;
Anonymous;inIT-HF/gr-corrsounder;https://github.com/inIT-HF/gr-corrsounder/blob/master/gr-corrsounder-architecture.png;entire;boxes;layered;general;static;maintainability;high;packages, layers;NA;rectangles, squares;n;bi;n;y;n;n;n;NA;
Anonymous;medlab/320-online-prototype;https://github.com/medlab/320-online-prototype/blob/main/TecPoints/Backend/WebApi/architecture.png;entire+;icons_and_arrows;MVC;general;static, dynamic;flexibility;medium;sub-systems;communication;rectangles;y;bi;n;y;n;y;code_snippet;NA;
Anonymous;annashres/CustomerBot;https://github.com/annashres/CustomerBot/blob/feature-AzureBot/Maav1Architecture.jpg;part;boxes_and_arrows;NA;data_flow;static;maintainability;high;DBs, sub-systems;data_flow;rectangles;n;no;n;n;n;y;n;microsoft;manual sketch
Anonymous;TestHaters/ctflow;https://github.com/TestHaters/ctflow/blob/master/dnd-ui/assets/architect.png;entire+;boxes_and_arrows;client-server;general;dynamic;functional_suitability;high;sub-systems, technologies;control_flow;icons;y;uni;n;n;n;y;snapshots;cypress.io;
Anonymous;ballerina-platform/asyncapi-tools;https://github.com/ballerina-platform/asyncapi-tools/blob/main/asyncapi-cli/src/main/resources/architecture.jpg;entire;UML;MVC, clean;general;static;maintainability;low;classes, interfaces, functions, layers;inheritance;rectangles;y;uni;n;y;n;y;n;NA;good example of low level UML architecture
Anonymous;Fenkey/irma;https://github.com/Fenkey/irma/blob/master/images/irmacall-architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;high;sub-systems;communication;rectangles;n;bi;n;n;n;y;n;NA;
Anonymous;linxiaow/Spring21-recitations-coms6998-cloud-computing;https://docs.aws.amazon.com/sagemaker/latest/dg/images/sagemaker-architecture.png;part;icons_and_arrows, boxes;client-server;control_flow;dynamic;functional_suitability, maintainability;medium;packages;control_flow;icons, rectangles;y;uni;n;n;n;y;n;aws;
Anonymous;alexandredev3/nodejs-clean-architeture;https://github.com/alexandredev3/nodejs-clean-architeture/blob/master/.github/assets/clean-architecture-image.jpg;entire;boxes;clean;general;static;maintainability;high;layers;NA;circles;y;NA;y;y;n;n;miniview;NA;clean duplicate
Anonymous;Elkinmt19/feature-hero-ml;https://github.com/Elkinmt19/feature-hero-ml/blob/main/assets/imgs/feature-store-architecture.drawio.png;entire;boxes_and_arrows;event-driven;general;dynamic;functional_suitability, maintainability;high;DBs, servers, packages;data_flow;rectangles, cylinders, icons;y;uni;n;n;n;y;n;apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google;
Anonymous;mateuseap/apache-airflow;https://github.com/mateuseap/apache-airflow/blob/main/assets/One%20Node%20Architecture.png;part;boxes;client-server;general;static;maintainability;high;sub-systems;NA;rectangles;y;NA;n;n;n;n;n;apache;
Anonymous;mxaviersmp/spotify-tracker;https://github.com/mxaviersmp/spotify-tracker/blob/main/spotify-stats-architecture.png;entire;icons_and_arrows;client-server;general;static;maintainability;high;technologies, APIs;communication;icons;y;bi;n;n;n;y;n;apache, aws, github;
Anonymous;quasirsg/Henry-M3;https://github.com/quasirsg/Henry-M3/blob/master/02-Promises/img/software-architecture-introduction-3.png;part;UML;NA;control_flow;dynamic;functional_suitability;low;processes;control_flow;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;qnib/qframe;https://github.com/qnib/qframe/blob/master/resources/pics/architecture.png;part;boxes_and_arrows;pipes-and-filters;data_flow;static;functional_suitability;medium;packages;dependencies, data_flow;rectangles;y;bi;n;n;n;y;n;qt;
Anonymous;ArnBaudzus/FluxSurfer;https://github.com/ArnBaudzus/FluxSurfer/blob/main/additional_doc/img/program_architecture.jpg;entire;boxes_and_arrows;layered;general;static;maintainability;high;sub-systems;control_flow;rectangles;y;uni;n;n;n;y;text;NA;
Anonymous;swir-rs/swir;https://github.com/swir-rs/swir/blob/master/graphics/swir_architecture.png;entire+;boxes_and_arrows;SOA, event-driven;general;static;maintainability;high;technologies, DBs, sub-systems;communication, dependencies;rectangles;y;bi;n;y;n;y;n;redis, aws, apache, prometheus, nats, jaeger, swir;
Anonymous;dspace-group/simphera-reference-architecture-azure;https://github.com/dspace-group/simphera-reference-architecture-azure/blob/main/AzureReferenceArchitecture.drawio.png;entire+;icons_and_arrows;NA;deployment, connectivity;dynamic;interaction_capability, functional_suitability;high;servers, containers;dependencies, communication;icons;y;uni;n;n;n;y;n;bastion, azure, nginx, postgresql, kubernetes, simphera;
Anonymous;inovex/scrumlr.io;https://github.com/inovex/scrumlr.io/blob/main/server/architecture.png;part;UML;client-server;control_flow;dynamic;functional_suitability;high;servers, DBs;control_flow;rectangles, ellipses;y;uni;n;n;n;y;n;sql;
Anonymous;vishipayyallore/blazorwasm-apim-api-sql-redis;https://github.com/vishipayyallore/blazorwasm-apim-api-sql-redis/blob/main/documentation/images/ApplicationArchitecture.PNG;entire+;icons_and_arrows;client-server, layered;control_flow;dynamic;functional_suitability;high;APIs, containers, technologies, DBs;control_flow;icons;y;uni;n;n;n;y;text, snapshots;azure, blazor, auth0, sql;
Anonymous;orchsym/runtime;https://github.com/orchsym/runtime/blob/master/nifi-nar-bundles/nifi-atlas-bundle/nifi-atlas-reporting-task/src/test/java/org/apache/nifi/atlas/emulator/architecture.svg;entire;boxes_and_arrows;event-driven;general;static;maintainability;high;sub-systems, DBs;communication, control_flow;rectangles, cylinders;y;uni;n;y;n;y;n;apache;Even when colors are used, the meaning of the colors is not explicit
Anonymous;castle-finance/vault-transaction-indexer;https://github.com/castle-finance/vault-transaction-indexer/blob/main/assets/architecture.png;part;icons_and_arrows;event-driven;control_flow;dynamic;functional_suitability;high;DBs, functions;control_flow;icons, 3d;y;uni;n;n;n;y;n;aws;
Anonymous;hex-js/nodejs-hexagonal-boilerplate-ts;https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/blob/master/hexagonal-architecture.png;entire+;boxes_and_arrows;clean, hexagonal;general;static;maintainability;high;sub-systems, layers;dependencies, communication;rectangles;n;uni;n;n;y;y;n;NA;
Anonymous;NodleCode/n1;https://github.com/NodleCode/n1/blob/main/images/architecture.png;entire+;icons_and_arrows;client-server;deployment;static;flexibility;high;servers, clients;communication;icons;y;bi;n;n;n;y;n;NA;
Anonymous;ZID-Automat/Controller-ZIDAutomat;https://github.com/ZID-Automat/Controller-ZIDAutomat/blob/main/Readme/Architectue.png;entire;boxes_and_arrows;NA;general;static;maintainability;high;sub-systems, APIs;NA;rectangles, ellipses;n;no;n;n;n;y;n;NA;
Anonymous;DJMcK/aws-lake-training;https://github.com/DJMcK/aws-lake-training/blob/master/06_comprehend_medical_service/images/architecture.png;entire;icons_and_arrows;NA;control_flow;dynamic;functional_suitability, maintainability;medium;technologies;control_flow;icons;y;uni;n;y;n;y;n;aws;
Anonymous;nforge/devnote;https://github.com/nforge/devnote/blob/master/doc/devnote_architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;medium;packages, sub-systems, technologies;communication;rectangles;y;uni;n;y;n;y;n;javascript;
Anonymous;opstree/OT-Microservices-Training;https://github.com/opstree/OT-Microservices-Training/blob/master/static/architecture.png;part;boxes_and_arrows;NA;control_flow;dynamic;functional_suitability, maintainability;high;classes, DBs, sub-systems;data_flow;rectangles, cylinders, icons;y;uni;n;n;n;y;n;go, java, python, elasticsearch, mysql;The lack of a legen makes connector nature much harder to understand (e.g., what does a dashed line stand for?)
Anonymous;victorshinya/serverless-chatbot;https://github.com/victorshinya/serverless-chatbot/blob/master/doc/source/images/architecture.jpg;part;icons_and_arrows;client-server;control_flow;dynamic;maintainability;high;DBs, technologies, devices;control_flow;icons, circles;y;bi;n;n;n;y;n;ibm;
Anonymous;itselavia/edge-computing-platform-for-deep-learning-apps;https://github.com/itselavia/edge-computing-platform-for-deep-learning-apps/blob/main/img/architecture.png;part;icons_and_arrows;layered;control_flow;dynamic;functional_suitability, maintainability;high;technologies, hardware_components;control_flow;rectangles, icons;y;bi;y;y;n;y;text;kubernetes, react, raspberry, google, java, go, python;
Anonymous;danielfm/prometheus-for-developers;https://github.com/danielfm/prometheus-for-developers/blob/master/img/prometheus-architecture.png;part;boxes_and_arrows;SOA;control_flow;dynamic;functional_suitability, maintainability;medium;technologies, servers, sub-systems;communication;rectangles, icons, squares;y;uni;n;y;n;y;n;prometheus, grafana, kubernetes;
